doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dang-ky-hoc-phan,data\quy-che-dao-tao-neu\dang-ky-hoc-phan.md,"Đăng ký khối lượng học tập, rút học phần và học lại",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
dao-tao-chat-luong-cao,data\quy-che-dao-tao-neu\dao-tao-chat-luong-cao.md,Quy định đào tạo đại học chính quy chương trình Chất lượng cao,https://aep.neu.edu.vn/wp-content/uploads/2022/07/Quy-dinh-dao-tao-Chat-luong-cao.pdf,2026-09-19,1299/QD-DHKTQD,public-source
dao-tao-tien-tien,data\quy-che-dao-tao-neu\dao-tao-tien-tien.md,Quy định đào tạo đại học chính quy theo chương trình Tiên tiến,https://aep.neu.edu.vn/wp-content/uploads/2022/07/Quy-dinh-ve-dao-tao-theo-chuong-trinh-tien-tien.pdf,2026-09-19,not-stated,public-source
nhiem-vu-quyen-sinh-vien,data\quy-che-dao-tao-neu\nhiem-vu-quyen-sinh-vien.md,"Nhiệm vụ, quyền và tiêu chí đánh giá sinh viên",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
phuc-khao-khieu-nai-diem,data\quy-che-dao-tao-neu\phuc-khao-khieu-nai-diem.md,Khiếu nại điểm và xem lại kết quả bài thi,https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
thi-ket-thuc-hoc-phan,data\quy-che-dao-tao-neu\thi-ket-thuc-hoc-phan.md,"Kiểm tra, thi kết thúc học phần và cách tính điểm",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
tot-nghiep,data\quy-che-dao-tao-neu\tot-nghiep.md,"Thực tập cuối khoá, xét và công nhận tốt nghiệp",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
trach-nhiem-giang-vien,data\quy-che-dao-tao-neu\trach-nhiem-giang-vien.md,"Trách nhiệm của giảng viên trong ra đề, coi thi và chấm thi",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
trach-nhiem-khoa-vien-phong,data\quy-che-dao-tao-neu\trach-nhiem-khoa-vien-phong.md,"Trách nhiệm của Khoa, Viện, Phòng QLĐT và cố vấn học tập",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
xep-hang-canh-bao-thoi-hoc,data\quy-che-dao-tao-neu\xep-hang-canh-bao-thoi-hoc.md,"Xếp hạng học lực, cảnh báo kết quả và buộc thôi học",https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,2026-09-19,1212/QD-DHKTQD (2012-12-12),public-source
